|	To	|	Weight	|	Path
|	203	|	-37	|	[0, 71, 89, 115, 134, 203]
|	204	|	-46	|	[0, 71, 89, 118, 128, 156, 204]
|	205	|	-52	|	[0, 71, 89, 116, 121, 159, 205]
|	206	|	-48	|	[0, 71, 89, 116, 139, 157, 206]
|	207	|	-48	|	[0, 49, 103, 112, 122, 172, 207]
|	208	|	-49	|	[0, 71, 89, 115, 126, 170, 208]
|	209	|	-50	|	[0, 71, 89, 115, 126, 170, 209]
|	210	|	-44	|	[0, 71, 107, 109, 147, 200, 210]
|	211	|	-47	|	[0, 71, 107, 109, 147, 200, 211]
|	212	|	-48	|	[0, 71, 104, 117, 149, 189, 212]
|	213	|	-49	|	[0, 71, 104, 117, 149, 199, 213]
|	214	|	-46	|	[0, 49, 103, 112, 122, 198, 214]
|	215	|	-53	|	[0, 71, 89, 116, 121, 159, 215]
|	216	|	-48	|	[0, 71, 107, 109, 147, 190, 216]
|	217	|	-48	|	[0, 71, 89, 116, 139, 157, 217]
|	218	|	-48	|	[0, 71, 89, 115, 134, 194, 218]
|	219	|	-46	|	[0, 71, 89, 115, 142, 178, 219]
|	220	|	-49	|	[0, 71, 104, 117, 149, 199, 220]
|	221	|	-46	|	[0, 71, 107, 109, 147, 173, 221]
|	222	|	-45	|	[0, 71, 89, 116, 139, 165, 222]
|	223	|	-50	|	[0, 49, 103, 112, 122, 198, 223]
|	224	|	-54	|	[0, 71, 104, 117, 149, 199, 220, 224]
|	225	|	-55	|	[0, 71, 89, 116, 121, 159, 205, 225]
|	226	|	-61	|	[0, 71, 89, 116, 121, 159, 215, 226]
|	227	|	-57	|	[0, 49, 103, 112, 122, 172, 207, 227]
|	228	|	-57	|	[0, 71, 89, 116, 139, 157, 217, 228]
|	229	|	-62	|	[0, 71, 89, 116, 121, 159, 215, 229]
|	230	|	-57	|	[0, 71, 89, 115, 126, 170, 208, 230]
|	231	|	-59	|	[0, 71, 104, 117, 149, 199, 213, 231]
|	232	|	-59	|	[0, 71, 89, 116, 121, 159, 215, 232]
|	233	|	-58	|	[0, 71, 89, 115, 134, 194, 218, 233]
|	234	|	-56	|	[0, 71, 89, 116, 121, 159, 205, 234]
|	235	|	-54	|	[0, 71, 107, 109, 147, 190, 216, 235]
|	236	|	-60	|	[0, 71, 89, 116, 121, 159, 205, 236]
|	237	|	-60	|	[0, 71, 89, 116, 121, 159, 205, 237]
|	238	|	-58	|	[0, 71, 89, 116, 139, 157, 217, 238]
|	239	|	-54	|	[0, 71, 104, 117, 149, 189, 212, 239]
|	240	|	-55	|	[0, 71, 89, 115, 126, 170, 208, 240]
|	241	|	-55	|	[0, 71, 89, 116, 121, 159, 205, 241]
|	242	|	-54	|	[0, 71, 89, 116, 121, 159, 215, 242]
|	243	|	-58	|	[0, 71, 104, 117, 149, 199, 220, 243]
|	244	|	-56	|	[0, 71, 107, 109, 147, 173, 221, 244]
|	245	|	-58	|	[0, 71, 104, 117, 149, 189, 212, 245]
|	246	|	-55	|	[0, 71, 89, 116, 139, 157, 206, 246]
|	247	|	-55	|	[0, 71, 89, 115, 134, 194, 218, 247]
|	248	|	-57	|	[0, 71, 89, 115, 126, 170, 209, 248]
|	249	|	-56	|	[0, 71, 107, 109, 147, 190, 216, 249]
|	250	|	-57	|	[0, 71, 89, 116, 121, 159, 215, 250]
|	251	|	-53	|	[0, 71, 89, 116, 121, 159, 205, 251]
|	252	|	-56	|	[0, 71, 89, 115, 142, 178, 219, 252]
|	253	|	-65	|	[0, 71, 89, 116, 139, 157, 206, 246, 253]
|	254	|	-67	|	[0, 71, 89, 116, 121, 159, 215, 250, 254]
|	255	|	-64	|	[0, 71, 89, 116, 139, 157, 217, 228, 255]
|	256	|	-66	|	[0, 71, 89, 116, 121, 159, 215, 232, 256]
|	257	|	-66	|	[0, 71, 104, 117, 149, 199, 220, 243, 257]
|	258	|	-72	|	[0, 71, 89, 116, 121, 159, 215, 229, 258]
|	259	|	-64	|	[0, 71, 89, 116, 121, 159, 205, 234, 259]
|	260	|	-67	|	[0, 71, 89, 115, 126, 170, 208, 230, 260]
|	261	|	-67	|	[0, 71, 89, 116, 121, 159, 215, 232, 261]
|	262	|	-66	|	[0, 71, 89, 116, 121, 159, 205, 237, 262]
|	263	|	-68	|	[0, 71, 89, 116, 121, 159, 215, 232, 261, 263]
|	264	|	-71	|	[0, 71, 89, 116, 121, 159, 215, 226, 264]
